"","obvil","cesr","ota","dta","TCP"
"TEI",126,50,2844,848,55820,
"ab",290,1022,60496,0,59,
"abbr",0,1482,7015,69,531348,
"actor",0,0,0,12,0,
"add",0,71,137,0,2124,
"addName",0,7,0,0,0,
"addSpan",0,0,2,0,4,
"addrLine",0,10,0,0,0,
"address",0,5,0,0,0,
"anchor",233,0,29,0,4,
"app",0,6,0,0,0,
"argument",151,0,1795,2268,66327,
"author",34,83,1,0,0,
"back",1,29,1007,608,22462,
"bibl",274,155,16180,4362,279493,
"biblScope",0,4,0,0,0,
"body",126,50,9246,1155,98314,
"byline",17,8,3549,1028,11945,
"caesura",0,0,30299,0,0,
"castGroup",0,29,0,51,0,
"castItem",0,63,90,744,0,
"castList",0,28,4,74,0,
"cb",0,66,0,26294,0,
"cell",242,3218,138105,34153,3.235963E6,
"choice",0,61228,770,8799,4045,
"cit",12,99,155,5431,0,
"closer",0,35,9414,1430,112283,
"code",0,0,1,0,0,
"corr",0,3103,505,5966,0,
"country",0,1,0,0,0,
"date",47,119,7734,112,60179,
"dateline",382,1,7247,2264,49088,
"del",0,62,15,0,5,
"desc",186,0,125150,0,6.352117E6,
"div",4584,2128,85352,104832,1.425044E6,
"docAuthor",14,0,381,823,0,
"docDate",388,44,6,899,0,
"docEdition",1,0,0,14,0,
"docImprint",0,46,223,946,0,
"docTitle",1,48,349,1156,0,
"emph",1090,0,6711,0,0,
"epigraph",2,2,2645,137,38704,
"expan",0,1837,0,69,4045,
"facsimile",0,2,12,0,0,
"figDesc",0,55,1147,0,22501,
"figure",206,480,5247,16866,88880,
"floatingText",1,0,6120,307,37815,
"foreign",46,3348,2365,1929,0,
"forename",1,35,0,0,0,
"formula",0,0,0,25670,0,
"front",25,48,2815,851,45151,
"fw",0,20554,15,336239,561,
"g",0,1012,489,493,0,
"gap",0,18,125202,5731,6.352257E6,
"genName",0,7,0,0,0,
"geogFeat",0,301,0,0,0,
"geogName",0,1776,0,0,0,
"gloss",0,0,45,0,0,
"graphic",22,362,200,0,0,
"group",0,0,71,0,2528,
"head",4961,2526,115775,117506,1.670818E6,
"heraldry",0,12,0,0,0,
"hi",56953,9424,1.419289E6,2.367314E6,5.2066396E7,
"imprimatur",0,25,23,63,0,
"index",521,0,0,0,0,
"item",2023,1806,188278,187951,3.49678E6,
"l",21004,39828,1.428379E6,557846,1.0842122E7,
"label",621,469,19570,0,577272,
"lb",3008,237202,1.508235E6,9.689271E6,2.9293798E7,
"lem",0,6,0,0,0,
"lg",316,4481,86396,84157,761815,
"list",621,115,17848,24877,370296,
"listBibl",1,0,0,26,0,
"metamark",0,3,0,0,0,
"milestone",46,13,14639,49313,0,
"mod",0,1,0,0,0,
"name",12265,32997,2541,0,0,
"nameLink",0,18,0,0,0,
"note",9451,2874,113910,187675,5.12216E6,
"num",862,0,0,0,0,
"offset",0,1,0,0,0,
"opener",0,2,9727,513,72109,
"orgName",30,4607,0,0,0,
"orig",0,57301,274,2769,0,
"p",68273,4855,1.099529E6,607881,1.0786471E7,
"pb",6156,9497,362846,311001,4.909429E6,
"pc",0,230,0,0,0,
"persName",4045,662,0,26217,0,
"placeName",386,11646,0,18652,0,
"postscript",17,0,1028,133,5764,
"ptr",0,0,507,0,635,
"pubPlace",0,37,2,918,0,
"publisher",2,35,0,910,0,
"q",4270,29,110383,0,645279,
"quote",5459,270,2597,5744,0,
"rdg",0,6,0,0,0,
"ref",240,1119,1325,140328,3538,
"reg",0,57311,274,2765,0,
"role",0,33,31,735,0,
"roleDesc",0,9,0,70,0,
"roleName",0,70,0,0,0,
"row",70,1311,30035,12571,738494,
"rs",5,0,0,0,0,
"said",31,1039,0,0,0,
"salute",11,10,6613,2490,59042,
"seg",47,0,11633,0,134759,
"settlement",0,4,0,0,0,
"sic",0,3707,534,5960,0,
"signed",33,37,8715,48,98020,
"soCalled",0,0,12,0,0,
"sp",12,1997,312812,42050,1.583715E6,
"spGrp",0,0,0,35,0,
"space",1044,19559,0,20962,0,
"speaker",12,1978,310490,42021,1.575243E6,
"stage",39,17,75264,14041,239832,
"stamp",0,7,0,0,0,
"subst",0,11,0,0,0,
"supplied",0,34,0,11095,0,
"surface",0,3,13,0,0,
"surname",490,38,0,0,0,
"table",7,103,2044,5219,41150,
"term",113,181,51,0,0,
"text",126,50,3195,848,63010,
"title",6583,88,265,0,0,
"titlePage",1,48,359,1097,0,
"titlePart",1,85,467,2399,0,
"trailer",2,104,3850,363,63660,
"unclear",1,117,2658,0,4036,
"zone",0,9,0,0,0,
